Episode,Time
0,25
50,1250
100,1250
150,1250
200,1250
250,1250
300,1250
350,1250
400,1250
450,1250
500,1250
550,1250
600,1250
650,1250
700,1250
750,1250
800,1250
850,1250
900,1250
950,1250
1000,1250
1050,1250
1100,1250
1150,1250
1200,1250
1250,1250
1300,1250
1350,1250
1400,1250
1450,1250
1500,1250
1550,1250
1600,1250
1650,1250
1700,1250
1750,1250
1800,1250
1850,1250
1900,1250
1950,1250
2000,1250
2050,1250
2100,1250
2150,1250
2200,1250
2250,1250
2300,1250
2350,1250
2400,1250
2450,1250
2500,1250
2550,1250
2600,1250
2650,1250
2700,1250
2750,1250
2800,1250
2850,1250
2900,1250
2950,1250
3000,1250
3050,1250
3100,1250
3150,1250
3200,1250
3250,1250
3300,1250
3350,1250
3400,1250
3450,1250
3500,1250
3550,1250
3600,1250
3650,1250
3700,1250
3750,1250
3800,1250
3850,1250
3900,1250
3950,1250
4000,1250
4050,1250
4100,1250
4150,1250
4200,1250
4250,1250
4300,1250
4350,1250
4400,1250
4450,1250
4500,1250
4550,1250
4600,1250
4650,1250
4700,1250
4750,1250
4800,1250
4850,1250
4900,1250
4950,1250
5000,1250
